Project_Name,Subproject,Sample_ID,Source_ID,Strain_ID,Plasmid_ID,Nucleic_Acids_ID,A260,A280,Ratio,nDrop,Qubit,Quantification_Method,Extractor,Date_Extracted,Storage_Location,Storage_Box,Kit_Name,Lot_Number,Kit_Name_2,Lot_Number_2,What_is_this?,Empty,Notes
NIH_Leech_Microbiome,ContBlood,A3dF081614EMci,A3dF081614EMc,,,A3dF081614EMciD,,,,,14.4,,McClureE,2014-09-14,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMcos,A3dF081614EMc,,,A3dF081614EMcosD,,,,,1.11,,LinA,2014-09-16,BPB425_-20,DNA3,,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMcu,A3dF081614EMc,,,A3dF081614EMcuD,,,,,0.828,,McClureE,2014-09-14,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMdi,A3dF081614EMd,,,A3dF081614EMdiD,,,,,15.0,,McClureE,2014-09-14,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMdos,A3dF081614EMd,,,A3dF081614EMdosD,,,,,0.5720000000000001,,LinA,2014-09-16,BPB425_-20,DNA3,,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMdu,A3dF081614EMd,,,A3dF081614EMduD,,,,,1.1,,McClureE,2014-09-14,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMei,A3dF081614EMe,,,A3dF081614EMeiD,,,,,14.4,,McClureE,2014-09-14,BPB425_-20,DNA3,EMbeat ,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMeos,A3dF081614EMe,,,A3dF081614EMeosD,,,,,0.05,,LinA,2014-09-16,BPB425_-20,DNA3,,,,,,no,
NIH_Leech_Microbiome,ContBlood,A3dF081614EMeu,A3dF081614EMe,,,A3dF081614EMeuD,,,,,2.0,,LinA,2014-09-16,BPB425_-20,DNA3,,,,,,no,
NIH_Leech_Microbiome,Food,A4dA061113EMacR,A4dA061113EMa,,,,,,,,,,,,TLS505_-80,RNA,,,,,,no,
NIH_Leech_Microbiome,Food,A4dB061113EMacR,A4dB061113EMa,,,,,,,,,,,,TLS505_-80,RNA,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,BAa2dF110414EMai,BAa2dF110414EMa,,,BAa2dF110414EMaiD,,,,,9.77,,LinA,2015-04-03,BPB425_-20,DNA4,,,,,,no,"[Extract] remeasured 4/22/15, Graf2014EM01, p.29"
NIH_Leech_Microbiome,EnvInteract,BAa2dF110414EMci,BAa2dF110414EMc,,,BAa2dF110414EMciD,,,,,4.07,,LinA,2015-03-25,BPB425_-20,DNA4,,,,,,no,"[Extract] remeasured 4/22/15, Graf2014EM01, p.29"
